category,date,link,summery,title
health,2016-10-22T06:28:02 GMT,https://www.express.pk/story/633240,اگر آپ کے گردے میں چھوٹی پتھریاں ہیں تو رولر کوسٹر کی سواری کیجئے، یہ پتھریاں ایک ایک کرکے خود بخود نکل جائیں گی,آپریشن کے بغیر گردے کی پتھری سے نجات کا انوکھا طریقہ دریافت
health,2016-10-21T04:24:11 GMT,https://www.express.pk/story/631977,مکھیوں کےزہر کا ایک عنصر ہڈیوں کو ٹوٹ پھوٹ سے محفوظ رکھتا ہے۔ ماہرین,شہد کی مکھی کے زہرسے جوڑوں کے درد کا علاج
health,2016-10-20T16:15:24 GMT,https://www.express.pk/story/631068,ٹوتھ پیسٹ نہ صرف دانتوں کو صاف کرتا ہے بلکہ بدن کے اندر سوزش کو بھی ختم کرتا ہے۔ ماہرین,دل کے دورے کو روکنے سمیت دانت صاف کرنے والا ٹوتھ پیسٹ تیار
health,2016-10-20T04:11:35 GMT,https://www.express.pk/story/630722,اگر آپ بھی اپنے بال گھنے، چمکدار اور خوبصورت بنانا چاہتی ہیں تو یہ تحریر آپ ہی کے لیے ہے۔,وہ آٹھ غذائیں جو آپ کے بالوں کو خوبصورت بناسکتی ہیں
health,2016-10-20T03:13:42 GMT,https://www.express.pk/story/631428,طبی محققین کے مطابق اس سبزی میں وٹامنز، معدنیات اور دیگر غذائی اجزاء موجود ہوتے ہیں,بھنڈی، غذا ہی نہیں بلکہ خطرناک امراض سے بچاؤ کا قدرتی ذریعہ بھی ہے
health,2016-10-19T04:27:37 GMT,https://www.express.pk/story/629343,تجربات کے دوران این اے ڈی پلس نامی اینزائم نے عمر بڑھانے میں اہم کردار ادا کیا۔ ,سائنسدانوں نے بڑھاپے کو دور رکھنے والا ایک اہم کیمیکل دریافت کرلیا
health,2016-10-19T03:57:01 GMT,https://www.express.pk/story/630530,عوام کھانے پینے میں احتیاط کریں، ٹھنڈے مشروبات سے گریز کیا جائے، طارق رفیع,موسم کی تبدیلی کیساتھ الرجی کے مریضوں میں اضافہ ہونے لگا
health,2016-10-18T04:32:15 GMT,https://www.express.pk/story/629451,لاغر بچوں کی نشوونما اور ذہنی صلاحیتیں بھی متاثر ہو جاتی ہیں، پروفیسر جمال رضا,سندھ میں کم وزن کے سیکڑوں بچے امراض کا شکار ہیں ، ماہرین طب
health,2016-10-18T04:27:51 GMT,https://www.express.pk/story/628433,ڈاکٹروں کے مطابق پہلا کھانا بھرپورناشتہ ہے اور اس کے علاوہ ہری سبزیاں اور پھل دن بھر آپ کو چاق و چوبند رکھ سکتی ہیں۔,چوکنا اورحاضرذہن رکھنے والی 4 اہم غذائیں
health,2016-10-17T11:21:59 GMT,https://www.express.pk/story/628854,انسانی جسم میں 5 کلو گرام وزن کا بڑھنا جگر کے سرطان کے 38 سے 25 فیصد تک خطرات کو بڑھادیتا ہے، تحقیق ,کمر بڑھنے سے جگر کے سرطان کے خطرات بھی بڑھ جاتے ہیں، تحقیق
health,2016-10-17T03:37:42 GMT,https://www.express.pk/story/628481,گھر کے جس گوشے کو سب سے زیادہ صفائی ستھرائی کی ضرورت ہوتی ہے، باورچی خانے کا شمار بھی انہی میں ہوتا ہے۔,کچھ گُر باورچی خانے کے۔۔۔
health,2016-10-17T03:29:46 GMT,https://www.express.pk/story/627077,اگر آپ صرف 15 دن کسی بلند پہاڑی مقام پر گزار لیں تو آپ کی صحت مہینوں تک اچھی رہے گی، ماہرین,بلند پہاڑی پر صرف 15 روز قیام سے انسان مہینوں صحت مند رہتا ہے، تحقیق
health,2016-10-16T04:38:48 GMT,https://www.express.pk/story/626966,وٹامن کی گولیاں اور سپلیمنٹ آپ کی صحت کو فائدہ پہنچانے کے بجائے مختلف امراض میں مبتلا کرسکتے ہیں۔,وٹامن کی گولیوں اورسپلیمنٹ کے استعمال میں احتیاط کریں، ماہرین
health,2016-10-15T13:54:11 GMT,https://www.express.pk/story/626723,کتاب پڑھنے کی عادت ذہنی تناؤ دور کرتی ہے اور دماغی صلاحیت کو بڑھانے میں مدد دیتی ہے۔ ماہرین,مطالعے کی عادت صحت کے لیے 5 طرح سےفائدہ مند ہے، تحقیق
health,2016-10-15T04:14:25 GMT,https://www.express.pk/story/626500,ڈیمنشیا میں عمر کے ساتھ ساتھ یادداشت میں کمی، معمولات انجام دینے میں دقت اور دیگر امراض شامل ہوتے ہیں۔,فضائی آلودگی اوروٹامن ڈی کی کمی ڈیمنشیا کی وجہ بن سکتی ہیں، ماہرین
